Client Name,Facility Type,County,County_Geo,Long,Lat
Kerry,10000,"Montgomery, AL",Montgomery,-86.2792,32.3617
Kerry,10000,"Hot Springs, AR",Hot Springs,-93.0553,34.4972
Kerry,10000,"Union City, CA*",Union City,-122.0258,37.5869
Kerry,10000,"Commerce, CA*",Commerce,-118.1547,34.0006
Kerry,10000,"Mecca, CA",Mecca,-116.0761,33.5711
Kerry,10000,"Montebello, CA",Montebello,-118.1144,34.0144
Kerry,10000,"Lakeland, FL",Lakeland,-81.9490,28.0442
Kerry,10000,"Plant City, FL",Plant City,-82.1333,28.0167
Kerry,10000,"Banks, GA",Banks,-85.8403,31.8135
Kerry,10000,"Calhoun, GA",Calhoun,-84.9513,34.5025
Kerry,10000,"Rome, GA",Rome,-85.1806,34.2605
Kerry,10000,"Savannah, GA",Savannah,-81.1167,32.0167
Kerry,10000,"Fredricksburg, IA",Fredericksburg,,
Kerry,10000,"Vinton, IA",Vinton,-92.0261,42.1642
Kerry,10000,"Carol Stream, IL",Carol Stream,-88.1408,41.9219
Kerry,10000,"Chicago, IL",Chicago,-87.6324,41.8832
Kerry,10000,"Elk Grove Village, IL",Elk Grove Village,-87.9964,42.0031
Kerry,10000,"Melrose Park, IL",Melrose Park,-87.8566,41.8934
Kerry,10000,"Lake Zurich, IL",Lake Zurich,-88.0931,42.1969
Kerry,10000,"Evansville, IN",Evansville,-87.5699,37.9757
Kerry,10000,"West Bend, IN",West Bend,-88.1845,43.4260
Kerry,10000,"New Century, KS", ,,
Kerry,10000,"Baltimore, MD",Baltimore,-76.6167,39.2833
Kerry,10000,"Portland, ME* ",Portland,-70.2565,43.6592
Kerry,10000,"Blue Earth, MN",Blue Earth,-94.1024,43.6376
Kerry,10000,"Owatonna, MN",Owatonna,-93.2260,44.0843
Kerry,10000,"Rochester, MN",Rochester,-92.4630,44.0234
Kerry,10000,"Affton, MO",Affton,-90.3236,38.5511
Kerry,10000,"Greenville, MO",Greenville,-90.4483,37.1272
Kerry,10000,"Nixa, MO",Nixa,-93.2989,37.0453
Kerry,10000,"Springfield, MO",Springfield,-93.2861,37.1950
Kerry,10000,"Vicksburg, MS",Vicksburg,-90.8753,32.3361
Kerry,10000,"Clark, NJ",Clark,-74.2973,40.6202
Kerry,10000,"Clark Savory, NJ",,,
Kerry,10000,"North Rose, NY",North Rose,-76.8927,43.1854
Kerry,10000,"Norwich, NY",Norwich,-75.5217,42.5319
Kerry,10000,"Byesville, OH",Byesville,-81.5370,39.9702
Kerry,10000,"Crossville, TN",Crossville,-85.0362,35.9531
Kerry,10000,"Forth Worth, TX",Fort Worth,-97.3303,32.7499
Kerry,10000,"Harrisonburg, VA",Harrisonburg,,
Kerry,10000,"Seattle, WA",Seattle,-122.3303,47.6032
Kerry,10000,"Summer, WA",Sumner,-122.2406,47.2033
Kerry,10000,"Beloit, WI",Beloit,-89.0317,42.5083
Kerry,10000,"Jackson, WI",Jackson,-88.1620,43.3239
Kerry,10000,"Manitowoc, WI",Manitowoc,-87.6578,44.0888
Kerry,10000,"Owen, WI",Owen,-90.5570,44.9477
Kerry,10000,"Rhinelander, WI",Rhinelander,-89.4113,45.6378
Kerry,10000,"Rothschilde, WI",Rothschild,-89.6070,44.8845
Kerry,10000,"Sturtevant, WI",Sturtevant,-87.8879,42.6979
Kerry,10000,"Vesper, WI",Vesper,-89.9675,44.4811