STATE,10/25/22,10/18/22,10/11/22
AK,0.88,0.96,0.96
AL,0.92,0.86,0.86
AR,0.97,0.89,0.89
AZ*,1.22,1.00,1.00
CA*,0.99,1.01,1.01
CO*,1.05,1.01,1.01
CT,0.97,0.93,0.93
DC,1.12,0.55,0.55
DE,0.95,0.95,0.95
FL,1.02,0.93,0.93
GA,1.05,0.93,0.93
HI,1.45,1.31,1.31
IA,1.00,0.96,0.96
ID,0.96,0.99,0.99
IL,1.06,0.97,0.97
IN,1.18,1.13,1.13
KS,1.11,1.05,1.05
KY,0.98,1.08,1.08
LA,0.77,0.87,0.87
MA,1.06,1.09,1.09
MD,1.04,0.96,0.96
ME,1.07,1.07,1.07
MI,1.08,1.04,1.04
MN,1.05,1.07,1.07
MO,1.05,0.95,0.95
MS,0.91,0.91,0.91
MT,1.02,1.02,1.02
NC,0.93,0.93,0.93
ND,1.05,1.06,1.06
NE,1.06,0.99,0.99
NH,1.13,1.04,1.04
NJ,0.90,0.89,0.89
NM*,1.16,1.11,1.11
NV,0.92,1.08,1.08
NY,0.97,0.91,0.91
OH,1.09,0.96,0.96
OK,1.04,0.94,0.94
OR*,1.05,1.07,1.07
PA,1.06,1.04,1.04
RI,1.10,1.09,1.09
SC,0.98,0.92,0.92
SD,1.03,1.04,1.04
TN,0.90,0.98,0.98
TX,0.93,0.87,0.87
UT,1.07,1.05,1.05
VA,0.97,1.00,1.00
VT,0.96,1.02,1.02
WA,0.93,0.90,0.90
WI,1.06,1.05,1.05
WV,0.98,0.88,0.88
WY,0.84,0.89,0.89
,,,